Street,City,State,Zip,City State
2415 NW 19TH ST,OKLAHOMA CITY,OK,73107,"OKLAHOMA CITY, OK"
21800 TENTH PLACE HINTON OK 73047  Acount No: 090012483,,,,","
2832 N MADISON ST,ENID,OK,73701,"ENID, OK"
2828 SW 97th ST,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
3905 NW 23rd St,Oklahoma City,OK,73107,"Oklahoma City, OK"
4400 NE 63RD ST,OKLAHOMA CITY,OK,73121,"OKLAHOMA CITY, OK"
1508 REGENCY BLVD,MOORE,OK,73160,"MOORE, OK"
1621 Rock Hollow DR,Norman,OK,73071,"Norman, OK"
1601 N TIMBER RD,OKLAHOMA CITY,OK,73130,"OKLAHOMA CITY, OK"
804 Peregrine Drive,Norman,OK,73702,"Norman, OK"
1404 OLD MILL RD,MOORE,OK,73160,"MOORE, OK"
1121 N Melinda Ave,Newcastle,OK,73065,"Newcastle, OK"
2423 SW 28TH ST,OKLAHOMA CITY,OK,73108,"OKLAHOMA CITY, OK"
2113 NW 157TH TER,EDMOND,OK,73013,"EDMOND, OK"
1535 E 53rd St,TULSA,OK,74105,"TULSA, OK"
1392 County Street 2981,Blanchard,OK,73010,"Blanchard, OK"
19800 SE 36th St,Oklahoma City,OK,,"Oklahoma City, OK"
390 CAROLYN DR,CHOCTAW,OK,73020,"CHOCTAW, OK"
724 SW 156th Place,Oklahoma City,OK,73170,"Oklahoma City, OK"
3325 NE 12TH ST,OKLAHOMA CITY,OK,73117,"OKLAHOMA CITY, OK"
7220 E Newton Pl,TULSA,OK,74115,"TULSA, OK"
4332 AVALON CT,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
1616 JULIE PL,OKLAHOMA CITY,OK,73127,"OKLAHOMA CITY, OK"
10316 Ski Dr,Oklahoma City,OK,73162,"Oklahoma City, OK"
123 SE 3rd St,Lexington,OK,73051,"Lexington, OK"
3925 NW 32nd St,Oklahoma City,OK,73112,"Oklahoma City, OK"
1814 Deermont,Edmond,OK,73034,"Edmond, OK"
340 SE 40TH ST,OKLAHOMA CITY,OK,73129,"OKLAHOMA CITY, OK"
3821 N BRYAN AVE,BETHANY,OK,73008,"BETHANY, OK"
632 NW 141st St,EDMOND,OK,73013,"EDMOND, OK"
2821 Eaton Dr,Norman,OK,73072,"Norman, OK"
R197103520,,,,","
5621 Northwest 58th Street,Warr Acres,OK,73122,"Warr Acres, OK"
4705 ELMVIEW DR,DEL CITY,OK,73115,"DEL CITY, OK"
3317 Rock Creek way,Oklahoma City,OK,73120,"Oklahoma City, OK"
108 N Jackson Dr,OKLAHOMA CITY,OK,73130,"OKLAHOMA CITY, OK"
3120 NW 66th St,OKLAHOMA CITY,OK,73116,"OKLAHOMA CITY, OK"
4715 S Bryant Ave,OKLAHOMA CITY,OK,73135,"OKLAHOMA CITY, OK"
284 Woodlands Dr,Harrah,OK,73045,"Harrah, OK"
2408 SE 12th St,Oklahoma City,OK,73129,"Oklahoma City, OK"
2120 N TULSA AVE,OKLAHOMA CITY,OK,73107,"OKLAHOMA CITY, OK"
18851 N Indian Meridian,Luther,OK,73054,"Luther, OK"
2112 LAZY Brook Trl,EDMOND,OK,73013,"EDMOND, OK"
5129 18TH ST,OKLAHOMA CITY,OK,73127,"OKLAHOMA CITY, OK"
13213 Sw 5th St,YUKON,OK,73099,"YUKON, OK"
1721 E CHEROKEE AVE,ENID,OK,73701,"ENID, OK"
2100 Lonnie Ln,Oklahoma City,OK,73170,"Oklahoma City, OK"
8616 N HARVEY AVE,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
6121 WINCHESTER DR,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
1549 NE 39TH ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
711 STONECROFT CIR,EDMOND,OK,73034,"EDMOND, OK"
2003 Sunflower St,Norman,OK,73072,"Norman, OK"
725 WILSON ST,NORMAN,OK,73072,"NORMAN, OK"
4101 HERITAGE PLACE DR,Norman,OK,73072,"Norman, OK"
1504 SW 82nd St,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
1524 Wilshire AVE,Norman,OK,73072,"Norman, OK"
1301 NE 52ND ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
1921 N Allen Lane,Oklahoma City,OK,73127,"Oklahoma City, OK"
1156 SE 19th Street,Oklahoma City,OK,73129,"Oklahoma City, OK"
325 S LINDEN ST,SAPULPA,OK,74066,"SAPULPA, OK"
608 SW 51ST ST,OKLAHOMA CITY,OK,73109,"OKLAHOMA CITY, OK"
719 SE 79TH ST,OKLAHOMA CITY,OK,73149,"OKLAHOMA CITY, OK"
9692 OAK TREE TER,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
5225 SE 45TH TER,DEL CITY,OK,73135,"DEL CITY, OK"
2221 SW 77TH ST,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
1215 NE 59TH ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
800 Peregrine Dr,Norman,OK,73072,"Norman, OK"
2215 NW 47th St,Oklahoma City,OK,73122,"Oklahoma City, OK"
3719 S 63 AV W,TULSA,OK,74107,"TULSA, OK"
3109 NW 35TH PL,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
5050 NE 50TH ST,Oklahoma City,OK,73121,"Oklahoma City, OK"
904 NE 17TH ST,MOORE,OK,73160,"MOORE, OK"
532 E DOUGLAS DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
15040 E Post Oak RD,NOBLE,OK,73068,"NOBLE, OK"
4025 NW 57TH ST,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
2025 NE 17th Street,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
1221 NE 44TH ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
15036 GAILLARDIA DR,OKLAHOMA CITY,OK,73142,"OKLAHOMA CITY, OK"
17225 Silver Chase,Norman,OK,73026,"Norman, OK"
1220 SW 100th Terrace,Oklahoma City,OK,73139,"Oklahoma City, OK"
424 Laws Drive,Norman,OK,73072,"Norman, OK"
10600 S Linn Ave,Oklahoma City,OK,73170,"Oklahoma City, OK"
1124 E 4 ST S,TULSA,OK,74120,"TULSA, OK"
7851 Slaughterville Rd,LEXINGTON,OK,73051,"LEXINGTON, OK"
11008 SQUIRMY DR,NEWALLA,OK,74857,"NEWALLA, OK"
072094065 - empty lot,,,,","
114 S Elm Pl,Broken Arrow,OK,74012,"Broken Arrow, OK"
212 MEADOWDALE DRIVE,CHICKASHA,OK,73018,"CHICKASHA, OK"
2724 NE SUCCESS ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
6801 Cricket Canyon Rd,Oklahoma City,OK,73162,"Oklahoma City, OK"
8828 N ROCKWELL DR,OKLAHOMA CITY,OK,73132,"OKLAHOMA CITY, OK"
1213 SW 128th St,Oklahoma City,OK,73170,"Oklahoma City, OK"
1628 NE 46TH ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
8700 CORD AVE,OKLAHOMA CITY,OK,73132,"OKLAHOMA CITY, OK"
233 S 104th East Ave,TULSA,OK,74128,"TULSA, OK"
406 SW 39TH ST,OKLAHOMA CITY,OK,73109,"OKLAHOMA CITY, OK"
921 NE 81st St,Oklahoma City,OK,73114,"Oklahoma City, OK"
13111 E Freedom Rd,Arcadia,OK,73007,"Arcadia, OK"
22422 Southerly Farms Blvd,Edmond,OK,73025,"Edmond, OK"
3715 Cedar Ridge DR,Norman,OK,73072,"Norman, OK"
2116 NE 16TH TER,OKLAHOMA CITY,OK,73117,"OKLAHOMA CITY, OK"
2933 SW 126TH ST,Oklahoma City,OK,73170,"Oklahoma City, OK"
5001 W Tecumseh Rd,Norman,OK,73072,"Norman, OK"
105 SW 100th St,Oklahoma City,OK,73139,"Oklahoma City, OK"
2018 N Draper Ave,Choctaw,OK,73020,"Choctaw, OK"
12308 Williamsport Ave,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
1420 WESTCHESTER DR,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
1220 NE 45th St,Oklahoma City,OK,73111,"Oklahoma City, OK"
8520 S ROSS AVE,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
1900 SHEFFIELD RD,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
4224 NW 20th St,Oklahoma City,OK,73107,"Oklahoma City, OK"
1240 W Post Oak Rd,Norman,OK,73072,"Norman, OK"
4424 E 68th St,TULSA,OK,74136,"TULSA, OK"
2900 STERLING DR,EDMOND,OK,73012,"EDMOND, OK"
14017 E Andrew LN,Newalla,OK,74857,"Newalla, OK"
3330 SE 16TH ST,Del City,OK,73115,"Del City, OK"
130 Midnight Dr,NEWALLA,OK,74857,"NEWALLA, OK"
3214 SW 19TH ST,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
11708 GRANDE MESA TER,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
3000 MEADOW LN,EDMOND,OK,73013,"EDMOND, OK"
816 N Joplin Ave,TULSA,OK,74115,"TULSA, OK"
604 SE 70th St,Oklahoma City,OK,73149,"Oklahoma City, OK"
6912 S HARVEY PL,OKLAHOMA CITY,OK,73139,"OKLAHOMA CITY, OK"
5820 SE 9th St,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
301 S Highland,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
2511 E 57TH ST,TULSA,OK,74105,"TULSA, OK"
1510 Eisenhower Rd,Norman,OK,73069,"Norman, OK"
17218 CEDAR LN,CHOCTAW,OK,73020,"CHOCTAW, OK"
1200 Ne 8th St,Oklahoma City,OK,73117,"Oklahoma City, OK"
3117 Tall Oaks CIR,Norman,OK,73072,"Norman, OK"
4819 NW 31st St,Oklahoma City,OK,73122,"Oklahoma City, OK"
1029 OAK HILL DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
10224 E Stella RD,OKHLAMA CITY,OK,73165,"OKHLAMA CITY, OK"
705 72nd Ave SE,Norman,OK,73026,"Norman, OK"
2832 SW 65TH ST,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
505 S COOLIDGE ST,ENID,OK,73703,"ENID, OK"
3507 CAMPBELL PL,OKLAHOMA CITY,OK,73108,"OKLAHOMA CITY, OK"
617 Nw 140th St,Edmond,OK,73013,"Edmond, OK"
3333 S 112TH E AVE,TULSA,OK,74146,"TULSA, OK"
3337 Nw 16th St,Oklahoma City,OK,73107,"Oklahoma City, OK"
5600 N Vermont Ave,Oklahoma City,OK,73112,"Oklahoma City, OK"
2441 NW 35th St,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
2301 Tanglewood Dr,Edmond,OK,73013,"Edmond, OK"
3404 Glisten ST,Norman,OK,73072,"Norman, OK"
2804 NE 19th St,Oklahoma City,OK,73111,"Oklahoma City, OK"
1120 Live Oak Drive,Midwest City,OK,73110,"Midwest City, OK"
705 Reed AVE,Norman,OK,73071,"Norman, OK"
18850 E FRANKLIN RD,Newalla,OK,74857,"Newalla, OK"
30623 S 193rd W Ave,Bristow,OK,74010,"Bristow, OK"
120 E HILL ST,OKLAHOMA CITY,OK,73105,"OKLAHOMA CITY, OK"
11554 Carlton Ct,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
723 NW 32ND ST,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
14950-7 E Indian Hills Rd,Newalla,OK,74857,"Newalla, OK"
1133 NW 95TH ST,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
1625 NE 50th St,Oklahoma City,OK,73111,"Oklahoma City, OK"
1104 S Hadden Ave,El Reno,OK,73036,"El Reno, OK"
1502 BRIGHTON AVE,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
1121 ASCOT,EDMOND,OK,73034,"EDMOND, OK"
4701 S Hudson Ave,Oklahoma City,OK,73109,"Oklahoma City, OK"
3149 CASHION PL,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
11700 THOUSAND OAKS DR,Edmond,OK,73034,"Edmond, OK"
608 Waterview Road,Oklahoma City,OK,73170,"Oklahoma City, OK"
7629 NW 26th St,BETHANY,OK,73008,"BETHANY, OK"
535 S 103rd E Ave,TULSA,OK,74128,"TULSA, OK"
108 SW 98th ST,Oklahoma City,OK,73139,"Oklahoma City, OK"
4901 RICHARDSON AVE,SPENCER,OK,73084,"SPENCER, OK"
709 S Saint Paul Ave,Midwest City,OK,73130,"Midwest City, OK"
483 Ne 22nd St,Newcastle,OK,73065,"Newcastle, OK"
15624 Traditions Drive,Edmond,OK,73013,"Edmond, OK"
1604 NE 48th St,Oklahoma City,OK,73111,"Oklahoma City, OK"
7901 N SHERIDAN RD,OWASSO,OK,74055,"OWASSO, OK"
14616 Exmoor Cir,OKLAHOMA CITY,OK,73142,"OKLAHOMA CITY, OK"
502 N MAIN ST,ARCADIA,OK,73007,"ARCADIA, OK"
832 NE 26th St,OKLAHOMA CITY,OK,73105,"OKLAHOMA CITY, OK"
206 W 52ND CT,SAND SPRINGS,OK,74063,"SAND SPRINGS, OK"
1000 110th Ave NE,Norman,OK,73026,"Norman, OK"
1604 Meyers Pl,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
11601 COYOTE CREEK RD,Oklahoma City,OK,73165,"Oklahoma City, OK"
5013 N Quapah Ave,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
Land in slaughtervill tax id is R0074562,Slaughterville,OK,73051,"Slaughterville, OK"
124 N LINCOLN,Calumet,OK,73014,"Calumet, OK"
2100 BASKING RIDGE TRL,EDMOND,OK,73013,"EDMOND, OK"
11801 WOODBRIDGE RD,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
7008 NW 128TH TER,OKLAHOMA CITY,OK,73142,"OKLAHOMA CITY, OK"
839 NE 35th St,Oklahoma City,OK,73105,"Oklahoma City, OK"
1136 SE 18TH ST,OKLAHOMA CITY,OK,73129,"OKLAHOMA CITY, OK"
412 SW 50th St,OKLAHOMA CITY,OK,73109,"OKLAHOMA CITY, OK"
9933 HEFNER VILLAGE DR,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
241 COBBLESTONE CIR,EDMOND,OK,73034,"EDMOND, OK"
2317 NW 119th Street,Oklahoma City,OK,73120,"Oklahoma City, OK"
1851 Silver Oaks Drive,Edmond,OK,73025,"Edmond, OK"
1610 NORWOOD PL,NICHOLS HILLS,OK,73120,"NICHOLS HILLS, OK"
1118 Dustin Dr,EDMOND,OK,73003,"EDMOND, OK"
1805 BUTTERFIELD TRL,CHOCTAW,OK,73020,"CHOCTAW, OK"
15040 E Post Oak Rd,Oklahoma City,OK,73135,"Oklahoma City, OK"
8324 Azurewood Dr,Oklahoma City,OK,73135,"Oklahoma City, OK"
316 Treyton place,Noble,OK,73068,"Noble, OK"
1224 NE 48th St,Oklahoma City,OK,73111,"Oklahoma City, OK"
11813 CENTURY DR,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
2016 NW 45th St,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
10400 NE 63RD ST,SPENCER,OK,73084,"SPENCER, OK"
2600 Havenwood Dr,Harrah,OK,73045,"Harrah, OK"
208 PARKWAY DR,MOORE,OK,73160,"MOORE, OK"
13617 W Hefner Rd,Yukon,OK,73099,"Yukon, OK"
Account: R130762440,,,,","
4306 Butler Pl,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
5000 SE 88th St,DEL CITY,OK,73135,"DEL CITY, OK"
424 Wildfire Dr,Norman,OK,73026,"Norman, OK"
2609 STRATTON DR,EDMOND,OK,73013,"EDMOND, OK"
8724 NW 117th Ct,OKLAHOMA CITY,OK,73162,"OKLAHOMA CITY, OK"
19117 Se 59th St,Newalla,OK,74857,"Newalla, OK"
3104 SW 46TH ST,OKLAHOMA CITY,OK,73119,"OKLAHOMA CITY, OK"
14241 E VARGAS RD,CHOCTAW,OK,73020,"CHOCTAW, OK"
2700 Nw 120th St,Oklahoma City,OK,73120,"Oklahoma City, OK"
1004 NW 166TH ST,EDMOND,OK,73012,"EDMOND, OK"
10205 NW 25th St,YUKON,OK,73099,"YUKON, OK"
11639 Tyson Ct,Midwest City,OK,73130,"Midwest City, OK"
1901 FOUNTAIN VIEW,EDMOND,OK,73013,"EDMOND, OK"
3601 Dixie Rd,Harrah,OK,73045,"Harrah, OK"
2332 SHADOWLAKE DR,Oklahoma City,OK,73159,"Oklahoma City, OK"
1816 NW 14TH ST,OKLAHOMA CITY,OK,73106,"OKLAHOMA CITY, OK"
3744 SE 23RD ST,OKLAHOMA CITY,OK,73115,"OKLAHOMA CITY, OK"
6501 HARRISON BLVD,OKLAHOMA CITY,OK,73141,"OKLAHOMA CITY, OK"
3741 NW 60TH ST,OKLAHOMA CITY,OK,73112,"OKLAHOMA CITY, OK"
2516 OZARK TRL,EDMOND,OK,73003,"EDMOND, OK"
4621 Northwest 15th Street,Oklahoma City,OK,73127,"Oklahoma City, OK"
4014 Morain Court,Norman,OK,73072,"Norman, OK"
1033 Mockingbird LN,Norman,OK,73071,"Norman, OK"
8904 S YOUNGS BLVD,OKLAHOMA CITY,OK,73159,"OKLAHOMA CITY, OK"
201 BLUEGRASS LN,EDMOND,OK,73003,"EDMOND, OK"
1437 E Cherry St,CUSHING,OK,74023,"CUSHING, OK"
2709 SW 54TH PL,OKLAHOMA CITY,OK,73119,"OKLAHOMA CITY, OK"
1607 NW 9TH ST,OKLAHOMA CITY,OK,73106,"OKLAHOMA CITY, OK"
3604 N Laird Ave,Oklahoma City,OK,73105,"Oklahoma City, OK"
1044 SW 47TH ST,OKLAHOMA CITY,OK,73109,"OKLAHOMA CITY, OK"
5208 FREEDOM CITY BLVD,SPENCER,OK,73084,"SPENCER, OK"
2604 SE 39th Street,Moore,OK,73160,"Moore, OK"
11301 S Hiwassee Road,Oklahoma City,OK,73165,"Oklahoma City, OK"
5204 Eden Cir,Oklahoma City,OK,73135,"Oklahoma City, OK"
4008 CHERRY HILL LN,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
2709 NE Success St,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
9705 E 110th Pl N,OWASSO,OK,74055,"OWASSO, OK"
2306 W 10th Ave,STILLWATER,OK,74074,"STILLWATER, OK"
1709 Forest Rd,EDMOND,OK,73025,"EDMOND, OK"
4700 Jenkins Ave,NORMAN,OK,73069,"NORMAN, OK"
300 Crown Colony Ln,Edmond,OK,73034,"Edmond, OK"
216 SE 28TH ST,MOORE,OK,73160,"MOORE, OK"
4626 S Tacoma Ave,TULSA,OK,74107,"TULSA, OK"
9404 STARDUST LN,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
10101 S Klein Ave,Oklahoma City,OK,73139,"Oklahoma City, OK"
1013 Penn LN,Moore,OK,73160,"Moore, OK"
1013 Sw 93rd St,Oklahoma City,OK,73139,"Oklahoma City, OK"
1014 Hunting Horse TRL,Norman,OK,73071,"Norman, OK"
1024 SW 67TH PL,OKLAHOMA CITY,OK,73139,"OKLAHOMA CITY, OK"
103 N 7TH ST,ARCADIA,OK,73007,"ARCADIA, OK"
10551 Glad Lane,Norman,OK,73026,"Norman, OK"
108 SW 103rd St,Oklahoma City,OK,73139,"Oklahoma City, OK"
109 WINDSOR WAY,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
1109 N Creek Dr,Edmond,OK,73034,"Edmond, OK"
1109 SW 102ND ST,Oklahoma City,OK,73139,"Oklahoma City, OK"
11100 North Markwell Court,Oklahoma City,Oklahoma,73162,"Oklahoma City, Oklahoma"
1113 SW 67TH PL,OKLAHOMA CITY,OK,73139,"OKLAHOMA CITY, OK"
11420 N Florida Ave,Oklahoma City,OK,73120,"Oklahoma City, OK"
1144 NW 47TH ST,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
116 W RICH ST,Norman,OK,73069,"Norman, OK"
11613 N ROSS AVE,OKLAHOMA CITY,OK,73120,"OKLAHOMA CITY, OK"
117 E PRATT DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
11835 BURNING OAKS RD,OKLAHOMA CITY,OK,73150,"OKLAHOMA CITY, OK"
1219 Kansas ST,Norman,OK,73069,"Norman, OK"
1220 E Etowah Road,Noble,OK,73068,"Noble, OK"
12204 Lorien Way,Oklahoma City,OK,73170,"Oklahoma City, OK"
1224 NE 18TH ST,OKLAHOMA CITY,OK,73111,"OKLAHOMA CITY, OK"
124 Wayne St,Edmond,OK,73003,"Edmond, OK"
12608 Saint Lukes Ln,Oklahoma City,OK,73142,"Oklahoma City, OK"
12712 Green Oak Dr,CHOCTAW,OK,73020,"CHOCTAW, OK"
12807 Forest Glen Dr,Choctaw,OK,73020,"Choctaw, OK"
13104 Turtle Creek Dr,OklAHOMA CITY,OK,730170,"OklAHOMA CITY, OK"
1322 NW 85TH ST,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
1323 EDINBURG DR,YUKON,OK,73099,"YUKON, OK"
1327 E CHEROKEE AVE,Enid,OK,73701,"Enid, OK"
13301 S Hiwassee RD,OKLAHOMA CITY,OK,73165,"OKLAHOMA CITY, OK"
13600 W. BRITTON ROAD,YUKON,OK,73099,"YUKON, OK"
137 W GLENHAVEN DR,MIDWEST CITY,OK,73110,"MIDWEST CITY, OK"
13701 P H Turnaround,Jones,OK,73049,"Jones, OK"
1401 DORCHESTER DR,OKLAHOMA CITY,OK,73114,"OKLAHOMA CITY, OK"
14116 Saw Mill Rd,Oklahoma City,OK,73170,"Oklahoma City, OK"
14270 S 49th W Ave,Kiefer,OK,74041,"Kiefer, OK"
14433 SE 23RD ST,CHOCTAW,,73020,"CHOCTAW,"
1449 NE 10th St,OKLAHOMA CITY,OK,73117,"OKLAHOMA CITY, OK"
14801 E Vfw Rd,Glencoe,OK,74032,"Glencoe, OK"
14816 AUREA LN,OKLAHOMA CITY,OK,73142,"OKLAHOMA CITY, OK"
15 LIBERTY LN,HARRAH,OK,73045,"HARRAH, OK"
1520 NW 21st St,Oklahoma City,OK,73106,"Oklahoma City, OK"
1528 HOLLIDAY DR,Norman,OK,73069,"Norman, OK"
1536 NW 36TH ST,OKLAHOMA CITY,OK,73118,"OKLAHOMA CITY, OK"
1553 SW 95th CT,Oklahoma City,OK,73159,"Oklahoma City, OK"
16004 Stone Meadows Drive,Oklahoma City,OK,73170,"Oklahoma City, OK"
1601 Rock Hollow DR,NORMAN,OK,73071,"NORMAN, OK"
1604 S 165th West Ave,SAND SPRINGS,OK,74063,"SAND SPRINGS, OK"
16312 SNOWY OWL DR,EDMOND,OK,73013,"EDMOND, OK"
16609 Fenmoor Lane,Edmond,OK,73012,"Edmond, OK"
1719 Ridgemont Circle,Norman,OK,73071,"Norman, OK"
17601 TALL OAK RD,CHOCTAW,OK,73020,"CHOCTAW, OK"
17700 Reynolds Lake DR,Norman,OK,73026,"Norman, OK"
1802 Aladdin ST,Norman,OK,73072,"Norman, OK"
1808 LOIS LYNN LN,EDMOND,OK,73003,"EDMOND, OK"
1809 RUNNING BRANCH RD,EDMOND,OK,73013,"EDMOND, OK"
1837 N Gale Ave,Moore,OK,73160,"Moore, OK"
1900 N Oakhill Road,Bethany,OK,73008,"Bethany, OK"
1916 Mulholland Dr,EDMOND,OK,73012,"EDMOND, OK"
1916 SYMPHONY LN,MIDWEST CITY,OK,73130,"MIDWEST CITY, OK"
2000 Nw 15th St,Oklahoma City,OK,73106,"Oklahoma City, OK"
2025 Myers Terrace,Oklahoma City,OK,73141,"Oklahoma City, OK"
20435 CROOKED OAK DR,HARRAH,OK,73045,"HARRAH, OK"
20678 HAAS ST,HARRAH,OK,73045,"HARRAH, OK"
20729 SE 59TH ST,OKLAHOMA CITY,OK,73129,"OKLAHOMA CITY, OK"
208 S ENGLISH DR,MOORE,OK,73160,"MOORE, OK"
2101 N Mickey Rd,Del City,OK,73115,"Del City, OK"
2106 NW 18TH ST,OKLAHOMA CITY,OK,73107,"OKLAHOMA CITY, OK"
